Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,hour,month,dayofweek,city_encoded,cluster,anomaly,safety_score
25,2020-03-01 01:00:00,2020-01-02 00:00:00,2020-02-01 20:47:00,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,,20.0,1,3,2,3,-1,35
28,2020-02-01 15:00:00,2020-01-02 03:00:00,2020-02-01 20:11:00,Lucknow,489,PUBLIC INTOXICATION,41,F,,Other Crime,7,No,,20.0,1,3,14,1,1,75
29,2020-04-01 14:00:00,2020-01-02 04:00:00,2020-02-01 19:56:00,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,,19.0,1,3,2,3,1,85
30,2020-04-01 23:00:00,2020-01-02 05:00:00,2020-02-01 09:35:00,Bhopal,517,BURGLARY,37,F,,Other Crime,4,No,,9.0,1,3,3,3,1,85
31,2020-03-01 07:00:00,2020-01-02 06:00:00,2020-02-01 13:06:00,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,,13.0,1,3,3,3,1,85
33,2020-03-01 04:00:00,2020-01-02 08:00:00,2020-03-01 03:01:00,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,,3.0,1,3,5,0,1,80
34,2020-05-01 07:00:00,2020-01-02 09:00:00,2020-03-01 02:40:00,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,,2.0,1,3,20,0,-1,50
35,2020-04-01 21:00:00,2020-01-02 10:00:00,2020-02-01 22:18:00,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,,22.0,1,3,12,1,-1,45
36,2020-04-01 21:00:00,2020-01-02 11:00:00,2020-02-01 17:48:00,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,17.0,1,3,4,3,1,85
37,2020-03-01 05:00:00,2020-01-02 12:00:00,2020-03-01 00:18:00,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,02-07-2020 05:00,0.0,1,3,14,0,-1,50
38,2020-04-01 05:00:00,2020-01-02 13:00:00,2020-02-01 18:04:00,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,18.0,1,3,26,1,-1,65
39,2020-03-01 23:00:00,2020-01-02 14:00:00,2020-02-01 21:24:00,Surat,487,VEHICLE - STOLEN,32,F,,Violent Crime,13,Yes,11-03-2020 23:00,21.0,1,3,24,1,-1,45
40,2020-03-01 02:00:00,2020-01-02 15:00:00,2020-03-01 14:05:00,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,15-01-2020 02:00,14.0,1,3,17,1,1,95
41,2020-05-01 01:00:00,2020-01-02 16:00:00,2020-03-01 01:51:00,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,1.0,1,3,28,0,-1,50
45,2020-05-01 19:00:00,2020-01-02 20:00:00,2020-03-01 06:22:00,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,12-01-2020 19:00,6.0,1,3,13,0,1,100
47,2020-05-01 04:00:00,2020-01-02 22:00:00,2020-03-01 09:55:00,Delhi,555,ROBBERY,47,F,,Violent Crime,9,No,,9.0,1,3,5,3,1,85
48,2020-05-01 17:00:00,2020-01-02 23:00:00,2020-03-01 03:42:00,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,14-03-2020 17:00,3.0,1,3,14,0,1,80
49,2020-05-01 19:00:00,2020-01-03 00:00:00,2020-03-01 02:59:00,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,2.0,1,4,10,0,-1,50
50,2020-03-01 13:00:00,2020-01-03 01:00:00,2020-03-01 06:06:00,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,6.0,1,4,8,0,1,100
51,2020-03-01 05:00:00,2020-01-03 02:00:00,2020-03-01 17:10:00,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,13-04-2020 05:00,17.0,1,4,18,1,1,95
52,2020-05-01 12:00:00,2020-01-03 03:00:00,2020-03-01 19:13:00,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,14-04-2020 12:00,19.0,1,4,13,1,1,95
55,2020-06-01 02:00:00,2020-01-03 06:00:00,2020-03-01 07:47:00,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,,7.0,1,4,21,1,1,95
56,2020-04-01 04:00:00,2020-01-03 07:00:00,2020-03-01 11:11:00,Meerut,596,BURGLARY,49,F,,Other Crime,19,No,,11.0,1,4,16,1,1,95
57,2020-06-01 01:00:00,2020-01-03 08:00:00,2020-03-01 20:16:00,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,20-07-2020 01:00,20.0,1,4,12,3,1,65
58,2020-03-01 18:00:00,2020-01-03 09:00:00,2020-03-01 09:43:00,Ahmedabad,110,ASSAULT,70,F,,Violent Crime,15,No,,9.0,1,4,1,3,1,85
59,2020-04-01 14:00:00,2020-01-03 10:00:00,2020-04-01 02:40:00,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,,2.0,1,4,4,0,-1,50
60,2020-05-01 18:00:00,2020-01-03 11:00:00,2020-04-01 05:33:00,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,31-03-2020 18:00,5.0,1,4,25,1,-1,45
64,2020-06-01 06:00:00,2020-01-03 15:00:00,2020-03-01 23:24:00,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,20-03-2020 06:00,23.0,1,4,25,1,-1,45
65,2020-05-01 18:00:00,2020-01-03 16:00:00,2020-04-01 00:59:00,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,0.0,1,4,28,0,-1,50
66,2020-06-01 14:00:00,2020-01-03 17:00:00,2020-04-01 11:49:00,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,15-03-2020 14:00,11.0,1,4,14,1,1,95
69,2020-06-01 09:00:00,2020-01-03 20:00:00,2020-04-01 02:24:00,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,17-01-2020 09:00,2.0,1,4,8,0,-1,50
70,2020-06-01 12:00:00,2020-01-03 21:00:00,2020-04-01 17:23:00,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,17.0,1,4,28,1,-1,65
71,2020-06-01 20:00:00,2020-01-03 22:00:00,2020-04-01 00:50:00,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,,0.0,1,4,13,0,-1,50
72,2020-05-01 18:00:00,2020-01-03 23:00:00,2020-04-01 11:34:00,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,23-03-2020 18:00,11.0,1,4,18,1,1,95
73,2020-05-01 21:00:00,2020-01-04 00:00:00,2020-04-01 07:58:00,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,,7.0,1,5,14,0,1,100
75,2020-05-01 02:00:00,2020-01-04 02:00:00,2020-05-01 01:45:00,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,1.0,1,5,1,0,-1,50
77,2020-04-01 22:00:00,2020-01-04 04:00:00,2020-04-01 14:30:00,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,,14.0,1,5,17,1,1,95
78,2020-05-01 21:00:00,2020-01-04 05:00:00,2020-04-01 17:02:00,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,29-03-2020 21:00,17.0,1,5,9,3,1,85
79,2020-05-01 20:00:00,2020-01-04 06:00:00,2020-05-01 03:40:00,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,,3.0,1,5,17,0,1,80
80,2020-07-01 03:00:00,2020-01-04 07:00:00,2020-04-01 23:54:00,Visakhapatnam,154,VEHICLE - STOLEN,54,F,,Violent Crime,15,Yes,15-01-2020 03:00,23.0,1,5,28,1,-1,45
81,2020-05-01 03:00:00,2020-01-04 08:00:00,2020-04-01 23:33:00,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,04-03-2020 03:00,23.0,1,5,5,3,-1,35
82,2020-06-01 05:00:00,2020-01-04 09:00:00,2020-04-01 15:37:00,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,,15.0,1,5,10,3,1,85
83,2020-06-01 12:00:00,2020-01-04 10:00:00,2020-05-01 09:17:00,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,21-03-2020 12:00,9.0,1,5,17,1,1,95
84,2020-04-01 19:00:00,2020-01-04 11:00:00,2020-05-01 06:13:00,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,20-01-2020 19:00,6.0,1,5,13,0,1,100
87,2020-07-01 06:00:00,2020-01-04 14:00:00,2020-04-01 16:00:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,18-01-2020 06:00,16.0,1,5,14,3,1,85
88,2020-07-01 03:00:00,2020-01-04 15:00:00,2020-04-01 22:04:00,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,,22.0,1,5,22,1,-1,45
89,2020-06-01 22:00:00,2020-01-04 16:00:00,2020-04-01 21:21:00,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,,21.0,1,5,17,1,-1,45
90,2020-06-01 18:00:00,2020-01-04 17:00:00,2020-05-01 06:38:00,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,,6.0,1,5,8,0,1,100
91,2020-05-01 04:00:00,2020-01-04 18:00:00,2020-05-01 17:15:00,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,,17.0,1,5,13,3,1,85
92,2020-04-01 20:00:00,2020-01-04 19:00:00,2020-05-01 09:21:00,Jaipur,510,CYBERCRIME,60,F,,Other Crime,7,No,,9.0,1,5,10,3,1,85
94,2020-06-01 21:00:00,2020-01-04 21:00:00,2020-05-01 08:12:00,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,,8.0,1,5,17,1,1,95
96,2020-06-01 08:00:00,2020-01-04 23:00:00,2020-05-01 14:10:00,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,,14.0,1,5,8,3,1,85
97,2020-06-01 02:00:00,2020-01-05 00:00:00,2020-05-01 15:36:00,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,12-02-2020 02:00,15.0,1,6,18,1,1,95
99,2020-06-01 23:00:00,2020-01-05 02:00:00,2020-05-01 14:38:00,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,23-01-2020 23:00,14.0,1,6,8,3,1,85
100,2020-06-01 20:00:00,2020-01-05 03:00:00,2020-05-01 06:41:00,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,22-01-2020 20:00,6.0,1,6,8,3,-1,55
101,2020-06-01 23:00:00,2020-01-05 04:00:00,2020-05-01 14:02:00,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,14-01-2020 23:00,14.0,1,6,1,3,-1,55
102,2020-05-01 16:00:00,2020-01-05 05:00:00,2020-05-01 22:34:00,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,,22.0,1,6,17,1,-1,45
103,2020-07-01 00:00:00,2020-01-05 06:00:00,2020-05-01 17:43:00,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,,17.0,1,6,12,3,1,85
104,2020-07-01 16:00:00,2020-01-05 07:00:00,2020-05-01 14:13:00,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,19-02-2020 16:00,14.0,1,6,17,1,1,95
105,2020-06-01 23:00:00,2020-01-05 08:00:00,2020-05-01 19:30:00,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,,19.0,1,6,14,3,-1,55
106,2020-06-01 00:00:00,2020-01-05 09:00:00,2020-05-01 10:05:00,Hyderabad,583,VEHICLE - STOLEN,69,F,,Violent Crime,12,Yes,22-02-2020 00:00,10.0,1,6,8,3,1,85
107,2020-05-01 11:00:00,2020-01-05 10:00:00,2020-05-01 17:21:00,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,,17.0,1,6,14,3,-1,55
108,2020-07-01 12:00:00,2020-01-05 11:00:00,2020-06-01 09:35:00,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,09-02-2020 12:00,9.0,1,6,2,3,1,85
109,2020-07-01 20:00:00,2020-01-05 12:00:00,2020-06-01 00:07:00,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,,0.0,1,6,4,0,-1,50
110,2020-05-01 17:00:00,2020-01-05 13:00:00,2020-05-01 23:32:00,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,,23.0,1,6,5,3,-1,35
111,2020-07-01 04:00:00,2020-01-05 14:00:00,2020-05-01 23:24:00,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,16-02-2020 04:00,23.0,1,6,28,1,-1,45
112,2020-08-01 05:00:00,2020-01-05 15:00:00,2020-06-01 07:02:00,Delhi,183,COUNTERFEITING,37,F,,Other Crime,6,No,,7.0,1,6,5,3,1,85
113,2020-07-01 09:00:00,2020-01-05 16:00:00,2020-06-01 14:55:00,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,08-11-2021 09:00,14.0,1,6,2,3,1,85
115,2020-07-01 13:00:00,2020-01-05 18:00:00,2020-06-01 08:02:00,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,03-02-2020 13:00,8.0,1,6,21,1,1,95
116,2020-05-01 20:00:00,2020-01-05 19:00:00,2020-06-01 06:26:00,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,,6.0,1,6,17,0,1,100
121,2020-07-01 14:00:00,2020-01-06 00:00:00,2020-06-01 12:16:00,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,22-01-2020 14:00,12.0,1,0,1,2,-1,60
122,2020-08-01 19:00:00,2020-01-06 01:00:00,2020-06-01 22:59:00,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,06-04-2020 19:00,22.0,1,0,5,2,-1,40
123,2020-06-01 04:00:00,2020-01-06 02:00:00,2020-07-01 00:00:00,Bhopal,432,VANDALISM,60,F,,Other Crime,4,No,,0.0,1,0,3,0,-1,50
124,2020-08-01 23:00:00,2020-01-06 03:00:00,2020-06-01 06:56:00,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,,6.0,1,0,15,0,1,100
126,2020-09-01 02:00:00,2020-01-06 05:00:00,2020-06-01 05:15:00,Pune,127,ASSAULT,62,F,,Violent Crime,10,No,,5.0,1,0,21,0,-1,50
127,2020-07-01 07:00:00,2020-01-06 06:00:00,2020-07-01 00:44:00,Surat,117,FIREARM OFFENSE,42,F,,Fire Accident,8,No,,0.0,1,0,24,0,-1,50
128,2020-07-01 04:00:00,2020-01-06 07:00:00,2020-07-01 02:17:00,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,01-04-2020 04:00,2.0,1,0,7,0,-1,50
131,2020-08-01 13:00:00,2020-01-06 10:00:00,2020-06-01 19:26:00,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,,19.0,1,0,0,2,-1,60
132,2020-07-01 04:00:00,2020-01-06 11:00:00,2020-07-01 06:55:00,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,,6.0,1,0,14,0,1,100
134,2020-06-01 22:00:00,2020-01-06 13:00:00,2020-07-01 00:56:00,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,,0.0,1,0,14,0,-1,50
135,2020-06-01 18:00:00,2020-01-06 14:00:00,2020-07-01 07:26:00,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,,7.0,1,0,5,2,1,90
136,2020-09-01 07:00:00,2020-01-06 15:00:00,2020-07-01 02:16:00,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,,2.0,1,0,5,0,-1,50
137,2020-07-01 23:00:00,2020-01-06 16:00:00,2020-07-01 01:01:00,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,23-01-2020 23:00,1.0,1,0,1,0,-1,50
139,2020-08-01 17:00:00,2020-01-06 18:00:00,2020-07-01 07:11:00,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,,7.0,1,0,12,2,1,90
140,2020-08-01 16:00:00,2020-01-06 19:00:00,2020-07-01 01:17:00,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,06-02-2020 16:00,1.0,1,0,10,0,-1,50
141,2020-08-01 13:00:00,2020-01-06 20:00:00,2020-07-01 14:13:00,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,,14.0,1,0,5,2,1,90
142,2020-07-01 23:00:00,2020-01-06 21:00:00,2020-07-01 06:34:00,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,27-03-2020 23:00,6.0,1,0,17,0,1,100
143,2020-07-01 09:00:00,2020-01-06 22:00:00,2020-07-01 12:37:00,Mumbai,278,ILLEGAL POSSESSION,45,F,,Other Crime,2,No,,12.0,1,0,17,2,1,90
144,2020-07-01 06:00:00,2020-01-06 23:00:00,2020-07-01 16:49:00,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,04-02-2020 06:00,16.0,1,0,26,1,-1,65
146,2020-08-01 01:00:00,2020-01-07 01:00:00,2020-07-01 16:44:00,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,,16.0,1,1,13,2,1,90
147,2020-07-01 16:00:00,2020-01-07 02:00:00,2020-07-01 18:49:00,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,26-01-2020 16:00,18.0,1,1,16,2,1,90
148,2020-07-01 16:00:00,2020-01-07 03:00:00,2020-07-01 22:27:00,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,,22.0,1,1,2,2,-1,40
149,2020-07-01 06:00:00,2020-01-07 04:00:00,2020-08-01 01:09:00,Agra,558,IDENTITY THEFT,41,F,,Violent Crime,5,Yes,27-02-2020 06:00,1.0,1,1,0,0,-1,50
150,2020-07-01 08:00:00,2020-01-07 05:00:00,2020-07-01 11:19:00,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,03-04-2020 08:00,11.0,1,1,20,1,1,95
151,2020-08-01 08:00:00,2020-01-07 06:00:00,2020-07-01 13:59:00,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,27-03-2020 08:00,13.0,1,1,3,2,1,90
153,2020-08-01 01:00:00,2020-01-07 08:00:00,2020-07-01 17:21:00,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,,17.0,1,1,5,2,1,90
154,2020-09-01 16:00:00,2020-01-07 09:00:00,2020-07-01 19:49:00,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,No,,19.0,1,1,4,2,1,90
155,2020-10-01 06:00:00,2020-01-07 10:00:00,2020-07-01 19:37:00,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,No,,19.0,1,1,2,2,-1,60
156,2020-10-01 05:00:00,2020-01-07 11:00:00,2020-07-01 12:05:00,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,02-04-2020 05:00,12.0,1,1,21,1,1,95
157,2020-07-01 13:00:00,2020-01-07 12:00:00,2020-07-01 13:48:00,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,8,No,,13.0,1,1,8,2,1,90
158,2020-08-01 16:00:00,2020-01-07 13:00:00,2020-08-01 03:32:00,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,13,No,,3.0,1,1,1,0,-1,50
159,2020-09-01 18:00:00,2020-01-07 14:00:00,2020-08-01 06:49:00,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,08-02-2020 18:00,6.0,1,1,5,0,1,100
160,2020-07-01 19:00:00,2020-01-07 15:00:00,2020-08-01 14:26:00,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,22-03-2020 19:00,14.0,1,1,13,2,1,90
161,2020-09-01 03:00:00,2020-01-07 16:00:00,2020-08-01 09:21:00,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,19-02-2020 03:00,9.0,1,1,16,2,1,90
162,2020-07-01 21:00:00,2020-01-07 17:00:00,2020-07-01 17:22:00,Surat,420,CYBERCRIME,17,F,,Other Crime,12,No,,17.0,1,1,24,1,-1,65
163,2020-09-01 16:00:00,2020-01-07 18:00:00,2020-08-01 09:50:00,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,15,No,,9.0,1,1,21,1,1,95
164,2020-08-01 20:00:00,2020-01-07 19:00:00,2020-08-01 02:04:00,Pune,492,ARSON,66,F,Firearm,Fire Accident,5,No,,2.0,1,1,21,0,-1,50
165,2020-10-01 00:00:00,2020-01-07 20:00:00,2020-08-01 06:07:00,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,23-12-2020 00:00,6.0,1,1,7,0,1,100
168,2020-08-01 22:00:00,2020-01-07 23:00:00,2020-08-01 02:01:00,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,04-03-2020 22:00,2.0,1,1,5,0,-1,50
169,2020-08-01 16:00:00,2020-01-08 00:00:00,2020-08-01 00:14:00,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,16,No,,0.0,1,2,14,0,-1,50
170,2020-10-01 07:00:00,2020-01-08 01:00:00,2020-08-01 05:22:00,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,17-01-2020 07:00,5.0,1,2,11,0,1,80
173,2020-11-01 03:00:00,2020-01-08 04:00:00,2020-08-01 13:20:00,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,29-10-2021 03:00,13.0,1,2,8,2,1,90
174,2020-09-01 20:00:00,2020-01-08 05:00:00,2020-09-01 01:34:00,Indore,438,DRUG OFFENSE,40,F,,Other Crime,7,No,,1.0,1,2,9,0,-1,50
176,2020-09-01 23:00:00,2020-01-08 07:00:00,2020-08-01 22:06:00,Lucknow,292,BURGLARY,66,F,,Other Crime,14,Yes,28-06-2020 23:00,22.0,1,2,14,2,-1,40
177,2020-08-01 14:00:00,2020-01-08 08:00:00,2020-09-01 02:25:00,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,21-03-2020 14:00,2.0,1,2,4,0,1,80
178,2020-09-01 15:00:00,2020-01-08 09:00:00,2020-08-01 16:59:00,Mumbai,331,ILLEGAL POSSESSION,54,F,,Other Crime,11,No,,16.0,1,2,17,1,1,95
179,2020-10-01 12:00:00,2020-01-08 10:00:00,2020-09-01 07:31:00,Agra,191,FRAUD,42,F,Knife,Other Crime,8,No,,7.0,1,2,0,2,1,90
181,2020-10-01 18:00:00,2020-01-08 12:00:00,2020-09-01 07:34:00,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,1,No,,7.0,1,2,2,2,1,90
182,2020-10-01 13:00:00,2020-01-08 13:00:00,2020-09-01 12:16:00,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,9,No,,12.0,1,2,17,1,1,95
183,2020-10-01 09:00:00,2020-01-08 14:00:00,2020-08-01 17:18:00,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,Yes,09-05-2021 09:00,17.0,1,2,1,2,1,90
184,2020-10-01 04:00:00,2020-01-08 15:00:00,2020-08-01 23:28:00,Hyderabad,422,SEXUAL ASSAULT,27,F,,Violent Crime,4,No,,23.0,1,2,8,2,-1,40
185,2020-08-01 19:00:00,2020-01-08 16:00:00,2020-08-01 17:27:00,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,03-03-2020 19:00,17.0,1,2,17,1,1,95
186,2020-11-01 15:00:00,2020-01-08 17:00:00,2020-09-01 08:32:00,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,Yes,12-03-2020 15:00,8.0,1,2,2,2,1,90
